#INFO_SAMPLING: PATH_EMBEDDINGS=/home/sharispe/Dropbox/dev/java/workspace/Conceptual-Annotator/resources/glove.6B//glove.6B.50d.txtCONCEPTUAL_SPACE=198 ; NB_SAMPLING_PER_SIZE=100000; AGGREGATION=MIN; SIZE_SAMPLING_SET=1-6 DATE=2017/04/19 18:01:13
>SAMPLING_SIZE=1
URI	NUMBER_NON_NULL_VALUES	PERCENT_NON_NULL_VALUES	SUM	AVERAGE	SUM_SQUARED_VALUES	AVERAGE_SQUARED	MIN_BEST_95	STANDARD_DEVIATION
http://graph/wordnet/07769568	100000	100.0	-7783.445274912406	-0.07783445274912405	2854.2813943995616	0.028542813943995615	0.0	0.1499486975910094
http://graph/wordnet/03241438	100000	100.0	3283.2959121860413	0.03283295912186041	2100.175111322448	0.02100175111322448	0.0	0.1411515069297056
http://graph/wordnet/10344679	100000	100.0	-17389.08866902103	-0.17389088669021027	5998.702668291636	0.059987026682916354	0.0	0.17247894424830182
http://graph/wordnet/10043844	100000	100.0	-18953.476099308187	-0.18953476099308186	6870.366442524361	0.06870366442524362	0.0	0.18105313805769552
http://graph/wordnet/02852392	100000	100.0	-7405.572944499209	-0.0740557294449921	3364.717066535945	0.03364717066535945	0.0	0.16781811464120786
http://graph/wordnet/09493680	100000	100.0	1980.8004541006992	0.019808004541006993	2018.2946703599448	0.02018294670359945	0.0	0.14067903063251075
http://graph/wordnet/02124272	100000	100.0	-13504.8566191101	-0.135048566191101	4776.81434744939	0.0477681434744939	0.0	0.17184303373783213
http://graph/wordnet/02781674	100000	100.0	-16274.991822181286	-0.16274991822181287	5808.511929290227	0.05808511929290227	0.0	0.17775709103069698
http://graph/wordnet/02785352	100000	100.0	-8750.98129478506	-0.08750981294785061	3363.1746199299146	0.033631746199299144	0.0	0.16116382608120017
http://graph/wordnet/09331478	100000	100.0	4381.017586831794	0.04381017586831794	1990.7778114242726	0.019907778114242727	0.0	0.13412101477631974
http://graph/wordnet/07939004	100000	100.0	-2252.952014024227	-0.02252952014024227	2056.1964691929065	0.020561964691929065	0.0	0.1416135071742081
http://graph/wordnet/03180509	100000	100.0	7925.8682195056335	0.07925868219505633	2568.4216814891843	0.025684216814891844	0.0	0.13929206047580353
http://graph/wordnet/03681809	100000	100.0	-5132.05577673394	-0.051320557767339396	2581.2739998867296	0.025812739998867296	0.0	0.15224631473147873
http://graph/wordnet/09846929	100000	100.0	-8.321302953734946	-8.321302953734946E-5	1888.688424320913	0.01888688424320913	0.0	0.13742953583127918
http://graph/wordnet/09376006	100000	100.0	13299.016392911024	0.13299016392911023	3757.2628230226146	0.03757262823022615	0.0	0.14101859639187497
http://graph/wordnet/09382700	100000	100.0	-11007.38402624498	-0.11007384026244979	4088.5503798821887	0.04088550379882189	0.0	0.16961501551660624
http://graph/wordnet/07456888	100000	100.0	-13362.40354137639	-0.13362403541376391	4841.491629240461	0.04841491629240462	0.0	0.1748128526514735
http://graph/wordnet/01677105	100000	100.0	-2570.736621606961	-0.02570736621606961	2383.687640569964	0.02383687640569964	0.0	0.1522366832531914
http://graph/wordnet/13603216	100000	100.0	-21125.996666695424	-0.21125996666695424	8053.210366883653	0.08053210366883652	0.0	0.18947646332121018
http://graph/wordnet/11521799	100000	100.0	-2816.626108559829	-0.02816626108559829	2242.2178180562587	0.022422178180562587	0.0	0.14706746722854955
http://graph/wordnet/04216306	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
http://graph/wordnet/02326697	100000	100.0	23229.98501906863	0.2322998501906863	7232.553433287044	0.07232553433287044	0.0	0.13550761577953888
http://graph/wordnet/02537365	100000	100.0	-8918.24570283418	-0.0891824570283418	2990.701840805023	0.02990701840805023	0.0	0.14816716156570658
http://graph/wordnet/02209508	100000	100.0	-7115.11003236851	-0.0711511003236851	2876.055355964122	0.02876055355964122	0.0	0.15394178926584592
http://graph/wordnet/14975368	100000	100.0	-3563.1689914614913	-0.03563168991461491	2002.4081694035092	0.020024081694035092	0.0	0.13694693997261795
http://graph/wordnet/06422547	100000	100.0	-21091.812371294378	-0.21091812371294377	7988.12111198531	0.0798812111198531	0.0	0.1881349414895182
http://graph/wordnet/05309998	100000	100.0	-11482.12400811072	-0.11482124008110721	4177.597814217361	0.041775978142173605	0.0	0.16909187138478995
http://graph/wordnet/02777635	100000	100.0	-6219.890738118686	-0.062198907381186865	2697.6302452944383	0.026976302452944384	0.0	0.1520118362941877
http://graph/wordnet/10895767	100000	100.0	-18518.47951050017	-0.1851847951050017	6359.509527730314	0.06359509527730314	0.0	0.1711773552173934
http://graph/wordnet/04963771	100000	100.0	5311.23923928888	0.0531123923928888	2365.1194098713595	0.023651194098713593	0.0	0.14432694784071823
http://graph/wordnet/09416900	100000	100.0	-14584.527983236858	-0.14584527983236859	4795.407457829308	0.047954074578293086	0.0	0.16335001967833118
http://graph/wordnet/05396148	100000	100.0	4740.311124505102	0.047403111245051026	2175.143311808765	0.021751433118087648	0.0	0.13965807589386647
http://graph/wordnet/09495727	100000	100.0	-5440.354935578008	-0.05440354935578008	2559.499838581721	0.025594998385817212	0.0	0.15045016518206422
http://graph/wordnet/09912283	100000	100.0	-8763.579613806512	-0.08763579613806513	3468.048641832021	0.03468048641832021	0.0	0.16431814766959765
http://graph/wordnet/07034009	100000	100.0	-14655.66148141791	-0.14655661481417911	4859.70254664978	0.0485970254664978	0.0	0.16467599740310102
http://graph/wordnet/04564934	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
http://graph/wordnet/07590167	100000	100.0	-12776.595521005276	-0.12776595521005277	4002.663884685058	0.04002663884685058	0.0	0.15395616108526924
http://graph/wordnet/13149924	100000	100.0	1743.4864155578393	0.017434864155578392	2122.293030707148	0.02122293030707148	0.0	0.14463386816008209
http://graph/wordnet/04594951	100000	100.0	-14541.418639945523	-0.14541418639945522	4957.458081802312	0.04957458081802312	0.0	0.16860989061086426
http://graph/wordnet/03005231	100000	100.0	-17282.849770280256	-0.17282849770280256	5896.498882380633	0.05896498882380633	0.0	0.17057344226343882
http://graph/wordnet/02803656	100000	100.0	-5124.857748348024	-0.05124857748348024	2470.119009438589	0.02470119009438589	0.0	0.1485758170103924
http://graph/wordnet/10518940	100000	100.0	-17596.425493489143	-0.17596425493489143	6072.013554682518	0.06072013554682518	0.0	0.17250135226146407
http://graph/wordnet/09784701	100000	100.0	9030.65396615809	0.0903065396615809	2633.0038087573575	0.026330038087573577	0.0	0.13481382340815384
http://graph/wordnet/02953692	100000	100.0	-11180.18660307339	-0.11180186603073392	3609.221374849158	0.03609221374849158	0.0	0.15359868651957087
http://graph/wordnet/07317454	100000	100.0	-20977.63404603801	-0.2097763404603801	7836.978349085508	0.07836978349085508	0.0	0.18537440619973886
